cuda
Couldn't read image /scratch/palle.a/AirKeyboard/data/hanco_all/HanCo/rgb/0400/cam5/00000011.jpg, got error cannot identify image file '/scratch/palle.a/AirKeyboard/data/hanco_all/HanCo/rgb/0400/cam5/00000011.jpg'
166 20
Epoch: 1/1000, Train Loss=0.9931820514, Val Loss=0.9931464141
Epoch: 2/1000, Train Loss=0.9931309083, Val Loss=0.9931062026
Epoch: 3/1000, Train Loss=0.9930728615, Val Loss=0.9930462024
Epoch: 4/1000, Train Loss=0.9930207846, Val Loss=0.9929945415
Epoch: 5/1000, Train Loss=0.9929653371, Val Loss=0.9929135821
Epoch: 6/1000, Train Loss=0.992900035, Val Loss=0.9928609133
Epoch: 7/1000, Train Loss=0.9928271864, Val Loss=0.9927886941
Epoch: 8/1000, Train Loss=0.9927467014, Val Loss=0.9926851609
Epoch: 9/1000, Train Loss=0.9926549033, Val Loss=0.9925864339
Epoch: 10/1000, Train Loss=0.9925540908, Val Loss=0.9924916462
Epoch: 11/1000, Train Loss=0.9924323711, Val Loss=0.9923543009
Epoch: 12/1000, Train Loss=0.9922947066, Val Loss=0.9921822223
Epoch: 13/1000, Train Loss=0.9921177684, Val Loss=0.9919574152
Epoch: 14/1000, Train Loss=0.9919081751, Val Loss=0.9917787476
Epoch: 15/1000, Train Loss=0.9916294205, Val Loss=0.9913701144
Epoch: 16/1000, Train Loss=0.9912784894, Val Loss=0.9909407605
Epoch: 17/1000, Train Loss=0.9908182913, Val Loss=0.9903776266
Epoch: 18/1000, Train Loss=0.9901273858, Val Loss=0.9895985831
Epoch: 19/1000, Train Loss=0.989290387, Val Loss=0.9886210723
Epoch: 20/1000, Train Loss=0.988075801, Val Loss=0.9872014793
Epoch: 21/1000, Train Loss=0.9863127493, Val Loss=0.9850711606
Epoch: 22/1000, Train Loss=0.9834176185, Val Loss=0.9812748649
Epoch: 23/1000, Train Loss=0.9780189068, Val Loss=0.9743157734
Epoch: 24/1000, Train Loss=0.9684582551, Val Loss=0.9597648436
Epoch: 25/1000, Train Loss=0.951906535, Val Loss=0.9399626905
Epoch: 26/1000, Train Loss=0.9280270186, Val Loss=0.9083595926
Epoch: 27/1000, Train Loss=0.8908422917, Val Loss=0.8826058399
Epoch: 28/1000, Train Loss=0.8700308683, Val Loss=0.8571725
Epoch: 29/1000, Train Loss=0.8550552387, Val Loss=0.8466174169
Epoch: 30/1000, Train Loss=0.847596844, Val Loss=0.8483783386
Epoch: 31/1000, Train Loss=0.8361516794, Val Loss=0.8359249126
Epoch: 32/1000, Train Loss=0.8287570687, Val Loss=0.8231237206
Epoch: 33/1000, Train Loss=0.8184080755, Val Loss=0.8177891103
Epoch: 34/1000, Train Loss=0.8108134772, Val Loss=0.8092042966
Epoch: 35/1000, Train Loss=0.8045569506, Val Loss=0.8003424243
Epoch: 36/1000, Train Loss=0.7961064554, Val Loss=0.8159834146
Epoch: 37/1000, Train Loss=0.7924894071, Val Loss=0.7968599363
Epoch: 38/1000, Train Loss=0.7846553104, Val Loss=0.7763901299
Epoch: 39/1000, Train Loss=0.7749251326, Val Loss=0.7703185948
Epoch: 40/1000, Train Loss=0.7745191829, Val Loss=0.782908185
Epoch: 41/1000, Train Loss=0.7636786092, Val Loss=0.7937563116
Epoch: 42/1000, Train Loss=0.7623172215, Val Loss=0.7719364654
Epoch: 43/1000, Train Loss=0.7565523024, Val Loss=0.7988588539
Epoch: 44/1000, Train Loss=0.751544756, Val Loss=0.7550998601
Epoch: 45/1000, Train Loss=0.74709916, Val Loss=0.7483869249
Epoch: 46/1000, Train Loss=0.7419127799, Val Loss=0.7480523424
